Course Name,Course Description,Course University,Course University Tag,Course Link,Course Provider,Course Duration,Course Pricing
Health and environment,"To be able to understand the importance of the environment for our health, we need to know a little about the interdependence between environment and humankind. This free course, Health and ...",The Open University,tou,/course/openlearn-health-health-and-environment-95887,OpenLearn,12 hours worth of material,Free Certificate
Human resources: recruitment and selection,Does the recruitment and selection process fill you with dread? Discrimination and equal opportunities legislation can make this area feel like a minefield. If you are faced with appointing a new ...,The Open University,tou,/course/openlearn-human-resources-human-resources-recruit-95888,OpenLearn,12 hours worth of material,Free Certificate
Introducing ageing,"Everyone is ageing, whatever their current age, and we live in a world where many people are living much longer than previous generations. This is often seen as a problem. But is it? This free ...",The Open University,tou,/course/openlearn-health-sports-psychology-introducing-ag-95889,OpenLearn,11 hours worth of material,Free Certificate
"Justice, fairness and mediation","This free course, Justice, fairness and mediation, considers the concepts of justice and fairness from various perspectives but mainly focuses on effective policing and community empowerment.&nbsp;",The Open University,tou,/course/openlearn-leadership-management-justice-fairness--95890,OpenLearn,4 hours worth of material,Free Certificate
Lead and manage change in health and social care,"Change is everywhere in health and social care work and can evoke a variety of emotions, from excitement and eager anticipation, to fear and outright hostility. In this free course, How to manage ...",The Open University,tou,/course/openlearn-health-sports-psychology-lead-and-manag-95891,OpenLearn,7 hours worth of material,Free Certificate
Leadership challenges in turbulent times,"Welcome to Leadership challenges in turbulent times, a free course offered by the Open University. We are excited to join you on your journey to explore leadership in the turbulent times that we ...",The Open University,tou,/course/openlearn-money-business-leadership-challenges-tu-95892,OpenLearn,6 hours worth of material,Free Certificate
Liquidity management,"In this free course you will focus on liquidity management, one of the fundamental aspects relating to risk management that has come under intense scrutiny in the past few years.",The Open University,tou,/course/openlearn-money-business-liquidity-management-95893,OpenLearn,7 hours worth of material,Free Certificate
Making decisions,Do you hate making decisions? Does the ability of others to make snap decisions really frustrate you? This free course will help you understand some of the processes involved in decision making. ...,The Open University,tou,/course/openlearn-leadership-management-making-decisions-95895,OpenLearn,4 hours worth of material,Free Certificate
Managing my money for young adults,"This free course, Managing my money for young adults, will help you start to think about managing your finances. You will learn how to budget effectively, and will be encouraged to start thinking ...",The Open University,tou,/course/openlearn-managing-my-money-young-adults-content--95896,OpenLearn,24 hours worth of material,Free Certificate
Managing the software enterprise: the organisational and business context,"This free course, Managing the software enterprise: the organisational and business context, relates software to the organisation that it supports, drawing on basic ideas from organisational theory...",The Open University,tou,/course/openlearn-leadership-management-managing-the-soft-95897,OpenLearn,5 hours worth of material,Free Certificate
Marketing communications as a strategic function,"Marketing communications help to define an organisation's relationship with its customers. This free course, Marketing communications as a strategic function, emphasises the strategic importance of...",The Open University,tou,/course/openlearn-business-strategy-studies-marketing-com-95898,OpenLearn,6 hours worth of material,Free Certificate
Marketing in the 21st Century,"This free course, Marketing in the 21st century, offers a managerial perspective on how to deliver more effective marketing in an organisation, regardless of whether it is based in the private, ...",The Open University,tou,/course/openlearn-money-business-marketing-the-21st-centu-95899,OpenLearn,6 hours worth of material,Free Certificate
"Midlife MOT: wealth, work and wellbeing","Introducing your Midlife MOT. Your midlife years – that is, when you’re between about 40 and 60 – will probably be a very hectic time indeed. You might have ended up in a challenging job, or you ...",The Open University,tou,/course/openlearn-midlife-mot-wealth-work-and-wellbeing-c-95900,OpenLearn,4 hours worth of material,Free Certificate
"National identity in Britain and Ireland, 1780–1840","What is a ‘nation’? What is a ‘state’? Where have these ideas come from and how have they developed over time? This free course, National identity in Britain and Ireland, 1780-1840, explores how ...",The Open University,tou,/course/openlearn-history-the-arts-national-identity-brit-95806,OpenLearn,4 hours worth of material,Free Certificate
The origins of the wars of the three kingdoms,"From Catholic rebellion to Civil War, what happened during the latter years of the reign of Charles I that caused people to take up arms against their fellow citizens? This free course, The origins...",The Open University,tou,/course/openlearn-history-the-origins-the-wars-the-three--95807,OpenLearn,12 hours worth of material,Free Certificate
Philosophy: the nature of persons,"What is a person? This free course, Philosophy: the nature of persons, examines this philosophical question concerning the nature of personhood. You will examine whether a 'person' is the same as a...",The Open University,tou,/course/openlearn-philosophy-philosophy-the-nature-person-95808,OpenLearn,15 hours worth of material,Free Certificate
Picturing the family,"Besides being simple mementos, family photographs can offer insights into the past. This free course, Picturing the family, looks at some of the ways photographs can reveal, and sometimes conceal, ...",The Open University,tou,/course/openlearn-visual-art-picturing-the-family-95809,OpenLearn,12 hours worth of material,Free Certificate
The poetry of Sorley MacLean,"Sorley MacLean (1911-1996) is regarded as one of the greatest Scottish poets of the twentieth century. This free course, The poetry of Sorley MacLean, will introduce you to his poetry and give you ...",The Open University,tou,/course/openlearn-literature-the-poetry-sorley-maclean-95810,OpenLearn,10 hours worth of material,Free Certificate
Reception of music in cross-cultural perspective,"Music is created to be performed, in most cases for an audience, whether in a concert hall, at a street fair or through a radio. But how those listeners receive a piece or style of music influences...",The Open University,tou,/course/openlearn-music-reception-music-cross-cultural-pe-95811,OpenLearn,15 hours worth of material,Free Certificate
The repute and reality of being a Roman emperor,"The Roman emperor had key relationships with several differing groups within the Roman empire, including the senate, the populace of Rome, the army and the provinces. This free course, The repute ...",The Open University,tou,/course/openlearn-history-the-repute-and-reality-being-ro-95812,OpenLearn,15 hours worth of material,Free Certificate
Roaring Twenties? Europe in the interwar period,"While recognising the shadows cast by two world wars (one concluded and one imminent) over European society during the 1920s and 1930s, this free course, Roaring Twenties? Europe in the interwar ...",The Open University,tou,/course/openlearn-history-the-arts-roaring-twenties-europ-95813,OpenLearn,14 hours worth of material,Free Certificate
Robert Owen and New Lanark,"Childcare, education, working conditions, healthcare, crime: these issues are hotly debated in today's society. They are also issues that Robert Owen, seen by some as a visionary and by others as a...",The Open University,tou,/course/openlearn-history-art-robert-owen-and-new-lanark-95814,OpenLearn,12 hours worth of material,Free Certificate
Goya,What influenced Goya? Did Napoleon's invasion of Spain alter the course of Goya's career? This free course will guide you through the works of Goya and the influences of the times in which he lived...,The Open University,tou,/course/openlearn-history-art-goya-95783,OpenLearn,5 hours worth of material,Free Certificate
Hadrian's Rome,"This free course, Hadrian's Rome, explores the city of Rome during the reign of the emperor Hadrian (117-38 CE). What impact did the emperor have on the appearance of the city? What types of ...",The Open University,tou,/course/openlearn-history-the-arts-hadrians-rome-95784,OpenLearn,10 hours worth of material,Free Certificate
Health and wellbeing in the ancient world,"This free course, Health and wellbeing in the ancient world, investigates the health of people in ancient Greece and Rome, using both literary and archaeological evidence to uncover details of real...",The Open University,tou,/course/openlearn-health-and-wellbeing-the-ancient-world--95785,OpenLearn,18 hours worth of material,Free Certificate
"Health, disease and society: Scottish influence in the 19th century","This free course, Health, disease and society: Scottish influence in the 19th century, examines the role that Scots played in contributing to the developments in healthcare during the nineteenth ...",The Open University,tou,/course/openlearn-history-science-technology-medicine-hea-95786,OpenLearn,10 hours worth of material,Free Certificate
Helen Langdon's ‘Caravaggio’,Accounts of Caravaggio's life are filled with suggestions of murder and intrigue. But does knowing more about this dark artist's experiences help us to interpret his art? Or does understanding his ...,The Open University,tou,/course/openlearn-literature-helen-langdons-caravaggio-95787,OpenLearn,20 hours worth of material,Free Certificate
Heritage case studies: Scotland,"The heritage traditions of Scotland are unique in comparison to the rest of Britain. This free course, Heritage case studies: Scotland, uses two case studies to demonstrate how heritage sites have ...",The Open University,tou,/course/openlearn-history-heritage-case-studies-scotland-95788,OpenLearn,5 hours worth of material,Free Certificate
The history of female protest and suffrage in the UK,"This free course focuses on one example of democratic protest: the campaign to extend the vote to women in the UK. In the course you'll be introduced to two key figures in the campaign, Ada Nield ...",The Open University,tou,/course/openlearn-history-the-arts-the-history-female-pro-95789,OpenLearn,10 hours worth of material,Free Certificate
The history of medicine: a Scottish perspective,"In the eighteenth and nineteenth centuries, the approach to medicine was vastly different from today. Health is now recognised, at least in most European countries, as a universal right, but what ...",The Open University,tou,/course/openlearn-history-the-arts-the-history-medicine-s-95790,OpenLearn,10 hours worth of material,Free Certificate
The Holocaust,"This free course explores the Holocaust, as the destruction of European Jewry is commonly known. The mass killing represented by the Holocaust raises many questions concerning the development of ...",The Open University,tou,/course/openlearn-history-the-holocaust-95791,OpenLearn,12 hours worth of material,Free Certificate
How do empires work?,"How are empires ruled? How do military, economic, logistic and cultural constructs combine to create 'systems of empire'? This free course, How do empires work?, introduces these questions by ...",The Open University,tou,/course/openlearn-history-the-arts-how-do-empires-work-95792,OpenLearn,1 hour of material,Free Certificate
Introduction to law in Wales,"This free course, Introduction to law in Wales, gives a brief overview of the legal history in Wales from the 12th century, followed by an overview of devolution and referendums, the law making ...",The Open University,tou,/course/openlearn-history-the-arts-introduction-law-wales-95793,OpenLearn,8 hours worth of material,Free Certificate
An introduction to material culture,"This free course, An introduction to material culture, introduces the study of material culture. It asks why we should study things and outlines some basic approaches to studying objects.",The Open University,tou,/course/openlearn-visual-art-an-introduction-material-cul-95794,OpenLearn,2 hours worth of material,Free Certificate
An introduction to music research,"In this free course, An introduction to music research, we have gathered together materials to allow you to explore the ways in which music may be researched. After thinking about different kinds ...",The Open University,tou,/course/openlearn-history-the-arts-an-introduction-music--95795,OpenLearn,16 hours worth of material,Free Certificate
Janis Joplin and the Sexual Revolution,"This free course,&nbsp;Janis Joplin and the Sexual Revolution, will introduce you to issues around the sexual revolution and how this, and other contemporary social revolutions of the 1960s, impacted ...",The Open University,tou,/course/openlearn-history-the-arts-janis-joplin-and-the-s-95796,OpenLearn,3 hours worth of material,Free Certificate
"John Webster, The Duchess of Malfi","This free course, John Webster, The Duchess of Malfi, concentrates on Acts 1 and 2 of John Webster's Renaissance tragedy, The Duchess of Malfi. It focuses on the representation of marriage for love...",The Open University,tou,/course/openlearn-literature-john-webster-the-duchess-mal-95797,OpenLearn,12 hours worth of material,Free Certificate
Beginners’ Spanish: food and drink,"Do you want to improve your language skills and communicate more easily and effectively in Spanish? This free course, Beginners’ Spanish: food and drink, focuses on buying and ordering food and ...",The Open University,tou,/course/openlearn-spanish-beginners-spanish-food-and-drin-95831,OpenLearn,6 hours worth of material,Free Certificate
"Communication, management and your own context","In management the ability to communicate clearly and confidently is of key importance. This free course, Communication, management and your own context, looks at the role of language in management ...",The Open University,tou,/course/openlearn-english-language-communication-manageme-95832,OpenLearn,8 hours worth of material,Free Certificate
Croeso: Beginners' Welsh,"This free course, Croeso: Beginners' Welsh, is taken from Croeso, a beginners' language module that concentrates on Welsh as a tool for communication, but it also provides some insights into Welsh ...",The Open University,tou,/course/openlearn-welsh-croeso-beginners-welsh-95833,OpenLearn,4 hours worth of material,Free Certificate
Cultures,"In this free course, Cultures, you will address the question of traditional music and music from the francophone world, and you will examine the place they occupy in the world of artistic creation....",The Open University,tou,/course/openlearn-french-cultures-95834,OpenLearn,5 hours worth of material,Free Certificate
Cànan nan Gàidheal (Gaelic language),"’S e dùthaich ioma-chànanach a tha ann an Alba an-diugh. Tha a’ Ghàidhlig, Albais agus Beurla, còmhla ri cànain Eòrpach agus eile a tha nise san dùthaich, uile a’ toirt buaidh air mar a tha sluagh ...",The Open University,tou,/course/openlearn-more-languages-canan-nan-gaidheal-95835,OpenLearn,15 hours worth of material,Free Certificate
Discovering Wales and Welsh: first steps,"This free course, Discovering Wales and Welsh, introduces you to who the Welsh people are via a brief look at history and two significant figures, Owain Glyndŵr and Llywelyn the Last. You will also...",The Open University,tou,/course/openlearn-languages-discovering-wales-and-welsh-f-95836,OpenLearn,4 hours worth of material,Free Certificate
Intracellular transport,"This free course, Intracellular transport, explains the function of the cytoskeleton and its role in controlling transport of vesicles  between different subcellular compartments.",The Open University,tou,/course/openlearn-biology-intracellular-transport-96039,OpenLearn,12 hours worth of material,Free Certificate
Introducing engineering,"Engineering encompasses a broad range of disciplines from design to manufacturing. This free course, Introducing engineering,  introduces a number of key themes that explore how engineering is ...",The Open University,tou,/course/openlearn-science-maths-technology-introducing-en-96041,OpenLearn,15 hours worth of material,Free Certificate
Introducing vectors for engineering applications,"Applied mathematics is a key skill for practicing engineers and mathematical modelling is an ever-increasing field within engineering. This free course, Introducing vectors for engineering ...",The Open University,tou,/course/openlearn-science-maths-technology-introducing-ve-96042,OpenLearn,5 hours worth of material,Free Certificate
Introduction to analysis,"This free course is an introduction to analysis which looks at real numbers and their properties, with a particular emphasis on inequalities. Section 1 starts by revising rational numbers and their...",The Open University,tou,/course/openlearn-science-maths-technology-introduction-a-96043,OpenLearn,16 hours worth of material,Free Certificate
Introduction to computational thinking,"You will learn about algorithms and abstraction in this free course, Introduction to computational thinking, and encounter some applications of computational thinking in various disciplines, ...",The Open University,tou,/course/openlearn-computing-ict-introduction-computationa-96044,OpenLearn,12 hours worth of material,Free Certificate
Introduction to differentiation,This free course is an introduction to differentiation. Section 1 looks at gradients of graphs and introduces differentiation from first principles. Section 2 looks at finding derivatives of simple...,The Open University,tou,/course/openlearn-science-maths-technology-introduction-d-96045,OpenLearn,18 hours worth of material,Free Certificate
An introduction to e-commerce and distributed applications,"What is e-commerce? This free course, An introduction to e-commerce and distributed applications, will look at typical application areas including the internet, supply chain management and online ...",The Open University,tou,/course/openlearn-computing-ict-an-introduction-e-commerc-96046,OpenLearn,8 hours worth of material,Free Certificate
An introduction to exoplanets,"This free course, An introduction to exoplanets, introduces our galaxy's population of planets, and some of their many surprises. It explains the methods used by astronomers to study exoplanets, ...",The Open University,tou,/course/openlearn-introduction-exoplanets-content-section-96047,OpenLearn,24 hours worth of material,Free Certificate
Introduction to finite element analysis,"What is finite element analysis (what is it and why do we carry it out? This free course, Introduction to finite element analysis, introduces the essence of finite element analysis. As an example ...",The Open University,tou,/course/openlearn-science-maths-technology-introduction-f-96048,OpenLearn,7 hours worth of material,Free Certificate
Scales in space and time,"Scale – dealing with the miniscule to the massive, over milliseconds to millennia – is central to all the sciences. In this free course, Scales in space and time, you’ll go to the absolute limits ...",The Open University,tou,/course/openlearn-science-maths-technology-scales-space-a-95652,OpenLearn,12 hours worth of material,Free Certificate
School business manager: Developing the role,"There is an ongoing revolution in the running of state schools and this is making the position of the school business manager both significant and necessary. Government thinking, together with ...",The Open University,tou,/course/openlearn-education-development-school-business-m-95653,OpenLearn,8 hours worth of material,Free Certificate
School geography: Exploring a definition,"This free course, School geography: Exploring a definition, focuses on how geography is currently being taught and understood. While studying it you will read about the significance of geography as...",The Open University,tou,/course/openlearn-education-development-school-geography--95654,OpenLearn,9 hours worth of material,Free Certificate
Science and society: A career and professional development course,Scientists throughout the world are increasingly interested in the relationship between science and society. Part of their concern is with the social responsibilities scientists have in relation to...,The Open University,tou,/course/openlearn-education-careers-science-and-society-a-95655,OpenLearn,30 hours worth of material,Free Certificate
Secondary learning,"This free course, Secondary learning, will identify and explore some of the key issues around learning and teaching in secondary schools. Through coming to understand these issues and debates, you ...",The Open University,tou,/course/openlearn-education-development-secondary-learnin-95656,OpenLearn,11 hours worth of material,Free Certificate
Simone de Beauvoir and the feminist revolution,"In this free course you will study the ideas of philosopher Simone de Beauvoir (1908-1986). In doing so you will also briefly study the philosophy of Beauvoir’s lifelong partner, philosopher ...",The Open University,tou,/course/openlearn-history-the-arts-simone-de-beauvoir-and-95657,OpenLearn,4 hours worth of material,Free Certificate
"So, you want to be a nurse? A brief introduction to nursing","This free course, So you want to be a nurse? A brief introduction to nursing, provides an overview of what nursing entails. Focusing on nursing in the UK specifically, but also looking at its place...",The Open University,tou,/course/openlearn-health-sports-psychology-so-you-want-be-95658,OpenLearn,6 hours worth of material,Free Certificate
Social care in the community,"Social care involves the challenge of supporting people who, for a variety of reasons, are unable to function without assistance or supervision. This free course, Social care in the community, ...",The Open University,tou,/course/openlearn-health-sports-psychology-social-care-th-95659,OpenLearn,3 hours worth of material,Free Certificate
Sound for music technology: An introduction,"Whether you're a professional musician, play music with your friends on the weekends or just like to listen to CDs, music technology affects your life. In this free course, Sound for music ...",The Open University,tou,/course/openlearn-engineering-technology-sound-music-tech-95661,OpenLearn,20 hours worth of material,Free Certificate
Speeches and speech-making,"This free course, Speeches and speech-making, explores an aspect of language use where 'voices' and 'texts' converge: the art of speech-making.",The Open University,tou,/course/openlearn-history-the-arts-speeches-and-speech-ma-95662,OpenLearn,1 hour of material,Free Certificate
"Squares, roots and powers","From paving your patio to measuring the ingredients for your latest recipe, squares, roots and powers really are part of everyday life. This free course reviews the basics of all three and also ...",The Open University,tou,/course/openlearn-mathematics-statistics-squares-roots-an-95663,OpenLearn,5 hours worth of material,Free Certificate
Stakeholders in marketing and finance,"This free course, Stakeholders in marketing and finance, comprises two sections introducing the idea of customers and stakeholders for financial information. It also contains two activities in ...",The Open University,tou,/course/openlearn-accounting-finance-stakeholders-marketi-95664,OpenLearn,2 hours worth of material,Free Certificate
Start writing fiction,"Have you always wanted to write, but never quite had the courage to start? This free course, Start writing fiction, will give you an insight into how authors create their characters and settings. ...",The Open University,tou,/course/openlearn-creative-writing-start-writing-fiction-95665,OpenLearn,12 hours worth of material,Free Certificate
Start writing fiction: characters and stories,"Start writing fiction is a free course that helps you to get started with your own fiction writing, focusing on the central skill of creating characters.",The Open University,tou,/course/openlearn-start-writing-fiction-characters-and-st-95666,OpenLearn,24 hours worth of material,Free Certificate
Starting with maths: Patterns and formulas,"Patterns occur everywhere in art, nature, science and especially mathematics.  Being able to recognise, describe and use these patterns is an important skill that helps you to tackle a wide variety...",The Open University,tou,/course/openlearn-mathematics-statistics-starting-maths-p-95667,OpenLearn,5 hours worth of material,Free Certificate
John Napier,"This free course looks at Scotsman John Napier, best known to for his treatise on Protestant religion. However, it was his interest in a completely different subject that radically altered the ...",The Open University,tou,/course/openlearn-mathematics-statistics-john-napier-96066,OpenLearn,3 hours worth of material,Free Certificate
Key skill assessment unit: information technology,"Skills in information technology (IT) cover a broad range, from using software packages effectively to developing a critical understanding of the strengths and weaknesses of IT solutions. ...",The Open University,tou,/course/openlearn-computing-ict-key-skill-assessment-unit-96067,OpenLearn,50 hours worth of material,Free Certificate
Kinematics of fluids,"This free course examines the basic kinematics of two-dimensional fluid flows. Section 1 introduces the diﬀerential equations for pathlines and streamlines. Section 2 introduces a scalar ﬁeld, ...",The Open University,tou,/course/openlearn-science-maths-technology-kinematics-flu-96068,OpenLearn,16 hours worth of material,Free Certificate
Laboratory Skills for Biology and Health,An OpenSTEM laboratory school providing you with 18 hours of ‘hands on’ experience with several widely used molecular and microbiological techniques to investigate ...,The Open University,tou,/course/openlearn-science-maths-technology-laboratory-ski-96069,OpenLearn,18 hours worth of material,Free Certificate
Laboratory skills for chemistry,"An OpenSTEM laboratory school providing you with 24 hours of ‘hands on’ experience with several widely used techniques in chemistry. Techniques include pipetting, titration, solvent extraction, ...",The Open University,tou,/course/openlearn-science-maths-technology-laboratory-ski-96070,OpenLearn,18 hours worth of material,Free Certificate
Could we control our climate?,"Climate crisis is one of the grand challenges we face as a society, but it can be hard to approach as a subject. Not only can the science at times seem dauntingly complex, but the solutions are ...",The Open University,tou,/course/openlearn-could-we-control-our-climate-content-se-95932,OpenLearn,24 hours worth of material,Free Certificate
Eating for the environment,"This free course, Eating for the environment, will explore the links between food, nutrition and environmental sustainability.",The Open University,tou,/course/openlearn-nature-environment-eating-the-environme-95934,OpenLearn,8 hours worth of material,Free Certificate
Effects of pollutants on the aquatic environment,Effects of pollutants on the aquatic environment is a free course.  It begins with an introduction to water and goes on to briefly outline the major sources of water pollution (these being sewage ...,The Open University,tou,/course/openlearn-nature-environment-effects-pollutants-o-95935,OpenLearn,3 hours worth of material,Free Certificate
Energy in buildings,"Themes covered in this free course, Energy in buildings, include reducing heating demand in buildings, heating systems and fuel emissions, and reducing electricity use by appliances. The course ...",The Open University,tou,/course/openlearn-nature-environment-energy-buildings-95936,OpenLearn,10 hours worth of material,Free Certificate
Energy resources: tidal energy,"The rise and fall of ocean tides result from the combined gravitational pull on water by the Moon and, to a lesser extent, the Sun, which exerts a force on water directed towards the two ...",The Open University,tou,/course/openlearn-environmental-studies-energy-resources--95938,OpenLearn,2 hours worth of material,Free Certificate
Environment: treading lightly on the Earth,"Environment: treading lightly on the Earth focuses on the problem of greenhouse gas emissions, especially carbon dioxide. This free course will give you an understanding of the nature and ...",The Open University,tou,/course/openlearn-environmental-studies-environment-tread-95939,OpenLearn,15 hours worth of material,Free Certificate
Environment: understanding atmospheric and ocean flows,"What affects the atmospheric and ocean flows? This free course, Environment: understanding atmospheric and ocean flows, explores the mechanisms that are important; the most rapid carrier is the ...",The Open University,tou,/course/openlearn-nature-environment-environment-understa-95940,OpenLearn,10 hours worth of material,Free Certificate
The environmental impact of teaching and learning,"This free course, The environmental impact of teaching and learning, discusses the impact on the environment of carbon based teaching and learning in Higher Education Institutions.  It  introduces ...",The Open University,tou,/course/openlearn-nature-environment-the-environmental-im-95941,OpenLearn,10 hours worth of material,Free Certificate
Environmental management and organisations,It is believed that environmental management requires action at all levels and by organisations of all types and sizes. However it is not always clear what we mean by environmental management and ...,The Open University,tou,/course/openlearn-nature-environment-environmental-manage-95942,OpenLearn,15 hours worth of material,Free Certificate
Eutrophication,Managing eutrophication is a key element in maintaining the earths biodiversity. Eutrophication is a process mostly associated with human activity whereby ecosystems accumulate minerals. This free ...,The Open University,tou,/course/openlearn-environmental-studies-eutrophication-95943,OpenLearn,12 hours worth of material,Free Certificate
Evolution through natural selection,"In this free course, Evolution through natural selection, we describe the theory of evolution by natural selection as proposed by Charles Darwin in his book, first published in 1859, On the Origin ...",The Open University,tou,/course/openlearn-natural-history-evolution-through-natur-95944,OpenLearn,4 hours worth of material,Free Certificate
Evolution: artificial selection and domestication,"In the 18th and 19th century evolutionary biologists, including Darwin, emphasised the similarities between natural evolution and artificial 'improvement' of livestock under domestication. They ...",The Open University,tou,/course/openlearn-natural-history-evolution-artificial-se-95945,OpenLearn,5 hours worth of material,Free Certificate
Financial methods in environmental decisions,"This free course, Financial methods in environmental decisions, begins by introducing some of the tools that can be used to assess the benefits of investment decisions, including ways of assessing ...",The Open University,tou,/course/openlearn-nature-environment-financial-methods-en-95946,OpenLearn,10 hours worth of material,Free Certificate
Future energy demand and supply,"When you consider that the global annual consumption of primary energy increased more than ten-fold during the 20th Century, the importance of planning future energy supply becomes clear. Future ...",The Open University,tou,/course/openlearn-environmental-studies-future-energy-dem-95947,OpenLearn,13 hours worth of material,Free Certificate
Global water resources,Water is arguably the most important physical resource as it is the one that is essential to human survival. Understanding the global water cycle and how we use water is essential to planning a ...,The Open University,tou,/course/openlearn-environmental-studies-global-water-reso-95948,OpenLearn,2 hours worth of material,Free Certificate
Groundwater,Water is arguably the most important physical resource as it is the one that is essential to human survival. Understanding the global water cycle and how we use water is essential to planning a ...,The Open University,tou,/course/openlearn-environmental-studies-groundwater-95949,OpenLearn,10 hours worth of material,Free Certificate
Introducing environmental decision making,"Many of the decisions we make have implications for our environment, particularly those concerning natural resources and waste. Taking account of environmental factors in decision making can be ...",The Open University,tou,/course/openlearn-nature-environment-introducing-environm-95950,OpenLearn,24 hours worth of material,Free Certificate
An introduction to biological systematics,"This free course, An introduction to biological systematics, is concerned with macroevolution  the patterns and processes of evolution above the species level. A crucial consideration in ...",The Open University,tou,/course/openlearn-natural-history-an-introduction-biologi-95951,OpenLearn,5 hours worth of material,Free Certificate
An introduction to energy resources,"Energy resources are essential for any society, be it one dependent on subsistence farming or an industrialised country. There are many different sources of energy, some well-known such as coal or ...",The Open University,tou,/course/openlearn-nature-environment-an-introduction-ener-95952,OpenLearn,8 hours worth of material,Free Certificate
An introduction to sustainable energy,"The search for sustainable energy will dominate the twenty-first century. This free course, An introduction to sustainable energy, provides an introductory overview of the present energy systems ...",The Open University,tou,/course/openlearn-environmental-studies-an-introduction-s-95953,OpenLearn,3 hours worth of material,Free Certificate
Living without oil,"Crude oil is currently our most important global source of energy. It is vital in the manufacture of many modern materials. But the worlds supply of oil is finite, its price is unstable and our ...",The Open University,tou,/course/openlearn-science-maths-technology-living-without-95954,OpenLearn,8 hours worth of material,Free Certificate
Logframe planning,"As a way of thinking about projects, Logical Framework Analysis helps to focus on some key questions during the project design process. This free course, Logframe planning, improves your ...",The Open University,tou,/course/openlearn-environmental-studies-logframe-planning-95955,OpenLearn,3 hours worth of material,Free Certificate
Managing coastal environments,"Coastal environments are by their nature ever-changing. This free course, Managing coastal environments, looks at the example of the Blackwater Estuary in Essex, England, describing how the current...",The Open University,tou,/course/openlearn-environmental-studies-managing-coastal--95956,OpenLearn,3 hours worth of material,Free Certificate
Migration,"Migration is a free course looking at the migrations of animals, with special reference to birds, and also introducing the themes of movement, selection and homeostasis.",The Open University,tou,/course/openlearn-science-maths-technology-migration-95958,OpenLearn,8 hours worth of material,Free Certificate
Modelling pollution in the Great Lakes,"This free course, Modelling pollution in the Great Lakes, introduces the idea of modelling with mathematics. The course centres on a mathematical model of how pollution levels in the Great Lakes of...",The Open University,tou,/course/openlearn-environmental-studies-modelling-polluti-95959,OpenLearn,4 hours worth of material,Free Certificate
Primary education: listening and observing,"Would you like to volunteer or find work in your local primary school? Are you thinking about becoming a teaching assistant, or becoming a teacher in the future? In this free course, Primary ...",The Open University,tou,/course/openlearn-primary-education-listening-and-observi-95634,OpenLearn,24 hours worth of material,Free Certificate
Primary science: supporting children’s learning,"Science is a key subject area in primary education curriculum frameworks. This free course, Primary science: supporting children's learning, provides an opportunity to consider your own ...",The Open University,tou,/course/openlearn-education-primary-science-supporting-ch-95635,OpenLearn,8 hours worth of material,Free Certificate
Professional relationships with young people,"In some people's eyes the development of relationships is a good end in itself, as it is in relationships that we express our humanity. Young people with few good-quality relationships in their ...",The Open University,tou,/course/openlearn-health-sports-psychology-professional-r-95636,OpenLearn,8 hours worth of material,Free Certificate
Race and Youth Policy: working with young people,"How should we, as a society, best respond to and prevent gang and knife crime and violent extremism?&nbsp;",The Open University,tou,/course/openlearn-education-development-race-and-youth-po-95638,OpenLearn,6 hours worth of material,Free Certificate
The range of work with young people,"This free course, The range of work with young people, identifies some features that we might use to describe the various settings where work with young people takes place. This encourages us to ...",The Open University,tou,/course/openlearn-childhood-youth-the-range-work-young-pe-95639,OpenLearn,10 hours worth of material,Free Certificate
"Ratio, proportion and percentages","From politics to cookery, ratios, proportions and percentages are part of everyday life. This free course is designed to help you become more familiar with how figures can be manipulated, then you ...",The Open University,tou,/course/openlearn-mathematics-statistics-ratio-proportion-95640,OpenLearn,5 hours worth of material,Free Certificate
Reading Shakespeare's As You Like It,"Do you enjoy watching Shakespeare's plays and like the idea of finding out more about them? This free course, Reading Shakespeare's As You Like It, will guide you through some of the most important...",The Open University,tou,/course/openlearn-history-the-arts-reading-shakespeares-y-95641,OpenLearn,6 hours worth of material,Free Certificate
Reading visual images,"What does a picture or an image tell you? This free course, Reading visual images, is an introduction to analysing and interpreting photographs as social data. Who controls what the image is ...",The Open University,tou,/course/openlearn-sociology-reading-visual-images-95642,OpenLearn,8 hours worth of material,Free Certificate
Recording music and sound,"This free course, Recording music and sound, provides an historical introduction to music and sound recording in the creative industries and offers some guidance about making your own recordings. ...",The Open University,tou,/course/openlearn-history-the-arts-recording-music-and-so-95643,OpenLearn,8 hours worth of material,Free Certificate
An introduction to interaction design,"From apps, phones and business systems to wearables, the Web and the Internet of Things, interactive products have become part of everyday life. But how can interactions be designed to best meet ...",The Open University,tou,/course/openlearn-science-maths-technology-an-introductio-95548,OpenLearn,10 hours worth of material,Free Certificate
An introduction to leadership for school governors (Wales),"This free course, An Introduction to Leadership for Governors, provides a brief introduction to the field of educational leadership. This Badged Open Course is part of a collection of training ...",The Open University,tou,/course/openlearn-an-introduction-leadership-school-gover-95550,OpenLearn,5 hours worth of material,Free Certificate
An introduction to minerals and rocks under the microscope,"In this free course, An introduction to minerals and rocks under the microscope, you will experience the study of minerals using a polarising microscope. While the study of minerals can involve ...",The Open University,tou,/course/openlearn-science-maths-technology-an-introductio-95551,OpenLearn,8 hours worth of material,Free Certificate
